"Country.Name","region","Dyear","values"
"Benin","BEN","D1998",0.047877304
"Benin","BEN","D1999",0.154906741
"Benin","BEN","D2000",0.225247851
"Benin","BEN","D2001",0.36341789
"Benin","BEN","D2002",0.702945595
"Benin","BEN","D2003",0.951327115
"Benin","BEN","D2004",1.182540965
"Benin","BEN","D2005",1.271031439
"Benin","BEN","D2006",1.537854346
"Benin","BEN","D2007",1.79
"Benin","BEN","D2008",1.85
"Benin","BEN","D2009",2.24
"Benin","BEN","D2010",3.13
"Benin","BEN","D2011",4.148323066
"Benin","BEN","D2012",4.5
"Benin","BEN","D2013",4.9
"Benin","BEN","D2014",6
"Benin","BEN","D2015",11.25498791
"Benin","BEN","D2016",14.5
"Benin","BEN","D2017",18.7
"Benin","BEN","D2018",19
"Benin","BEN","D2019",22.41593843
"Benin","BEN","D2020",28.22915416
"Benin","BEN","D2021",33.96533089
"Benin","BEN","D2022",NA
"Burkina Faso","BFA","D1990",0
"Burkina Faso","BFA","D1991",0
"Burkina Faso","BFA","D1992",0
"Burkina Faso","BFA","D1993",0
"Burkina Faso","BFA","D1994",0
"Burkina Faso","BFA","D1995",0
"Burkina Faso","BFA","D1996",0.000960519
"Burkina Faso","BFA","D1997",0.018686353
"Burkina Faso","BFA","D1998",0.045423484
"Burkina Faso","BFA","D1999",0.061780293
"Burkina Faso","BFA","D2000",0.077080169
"Burkina Faso","BFA","D2001",0.157732465
"Burkina Faso","BFA","D2002",0.200992598
"Burkina Faso","BFA","D2003",0.373440303
"Burkina Faso","BFA","D2004",0.400295285
"Burkina Faso","BFA","D2005",0.469914489
"Burkina Faso","BFA","D2006",0.632707564
"Burkina Faso","BFA","D2007",0.75
"Burkina Faso","BFA","D2008",0.92
"Burkina Faso","BFA","D2009",1.13
"Burkina Faso","BFA","D2010",2.4
"Burkina Faso","BFA","D2011",3
"Burkina Faso","BFA","D2012",3.725034916
"Burkina Faso","BFA","D2013",5
"Burkina Faso","BFA","D2014",6
"Burkina Faso","BFA","D2015",6.55
"Burkina Faso","BFA","D2016",7.14
"Burkina Faso","BFA","D2017",7.79
"Burkina Faso","BFA","D2018",8.5
"Burkina Faso","BFA","D2019",9.27180601
"Burkina Faso","BFA","D2020",13.93797176
"Burkina Faso","BFA","D2021",21.57982734
"Burkina Faso","BFA","D2022",NA
"Bangladesh","BGD","D1990",0
"Bangladesh","BGD","D1991",0
"Bangladesh","BGD","D1992",0
"Bangladesh","BGD","D1993",0
"Bangladesh","BGD","D1994",0
"Bangladesh","BGD","D1995",0
"Bangladesh","BGD","D1996",NA
"Bangladesh","BGD","D1997",0.000751046
"Bangladesh","BGD","D1998",0.003684813
"Bangladesh","BGD","D1999",0.036170407
"Bangladesh","BGD","D2000",0.071039423
"Bangladesh","BGD","D2001",0.129807974
"Bangladesh","BGD","D2002",0.139920289
"Bangladesh","BGD","D2003",0.163877665
"Bangladesh","BGD","D2004",0.199036334
"Bangladesh","BGD","D2005",0.241637326
"Bangladesh","BGD","D2006",1
"Bangladesh","BGD","D2007",1.8
"Bangladesh","BGD","D2008",2.5
"Bangladesh","BGD","D2009",3.1
"Bangladesh","BGD","D2010",3.7
"Bangladesh","BGD","D2011",4.5
"Bangladesh","BGD","D2012",5
"Bangladesh","BGD","D2013",6.63
"Bangladesh","BGD","D2014",11.9
"Bangladesh","BGD","D2015",12.9
"Bangladesh","BGD","D2016",18.1
"Bangladesh","BGD","D2017",19.8
"Bangladesh","BGD","D2018",23.44
"Bangladesh","BGD","D2019",27.76
"Bangladesh","BGD","D2020",32.87
"Bangladesh","BGD","D2021",38.91744466
"Bangladesh","BGD","D2022",38.6
"Bulgaria","BGR","D1990",0
"Bulgaria","BGR","D1991",0
"Bulgaria","BGR","D1992",0
"Bulgaria","BGR","D1993",0.002339042
"Bulgaria","BGR","D1994",0.019526669
"Bulgaria","BGR","D1995",0.119665549
"Bulgaria","BGR","D1996",0.725251167
"Bulgaria","BGR","D1997",1.219813132
"Bulgaria","BGR","D1998",1.844965121
"Bulgaria","BGR","D1999",2.908154025
